word,count
the,174115
and,83001
that,28006
for,27820
with,21275
are,16104
from,15552
this,13851
not,12511
which,10725
adj,10199
etc,10190
was,10125
have,8584
one,8085
its,7648
they,7279
can,7070
his,6978
but,6949
their,6493
you,6490
all,6395
latin,6372
when,6364
other,6360
will,6040
more,5928
also,5806
has,5151
into,5125
may,4822
esp,4773
used,4693
had,4688
such,4610
these,4606
than,4558
time,4425
who,4402
person,4310
related,4258
new,4163
were,4093
what,3999
two,3979
would,3892
only,3787
work,3658
often,3637
each,3610
any,3608
use,3605
them,3528
out,3462
system,3408
there,3379
make,3364
foll,3323
should,3319
been,3255
between,3230
adv,3187
about,3184
must,3180
through,3174
colloq,3083
old,3025
most,3002
some,2925
where,2902
first,2888
company,2851
part,2807
same,2795
french,2780
how,2761
over,2675
people,2668
information,2662
then,2650
form,2644
number,2625
many,2577
political,2529
because,2528
being,2499
energy,2497
like,2468
made,2439
those,2425
management,2402
shall,2390
english,2375
using,2340
business,2337
after,2322
your,2300
social,2260
see,2256
very,2236
place,2194
way,2182
him,2173
state,2165
greek,2085
data,2083
another,2016
general,1994
point,1986
usu,1970
university,1953
could,1943
our,1942
without,1940
example,1939
small,1936
well,1931
systems,1928
case,1917
strategic,1917
order,1915
power,1904
force,1888
much,1870
process,1868
take,1863
strategy,1861
both,1855
war,1849
control,1843
upon,1799
thing,1796
said,1780
great,1748
even,1737
theory,1717
three,1704
while,1698
large,1693
analysis,1689
water,1688
security,1683
before,1675
under,1675
different,1658
based,1653
network,1648
good,1646
army,1622
set,1617
equipment,1611
group,1606
value,1596
given,1573
during,1569
past,1565
space,1565
action,1564
life,1562
does,1560
line,1539
own,1532
ones,1530
high,1516
means,1515
years,1504
world,1494
every,1493
light,1493
less,1483
important,1482
money,1458
press,1455
position,1453
having,1450
level,1449
long,1436
become,1435
change,1432
her,1432
service,1417
industry,1411
knowledge,1409
mass,1399
following,1397
safety,1386
down,1376
second,1366
states,1365
body,1361
now,1352
products,1337
results,1333
against,1326
technology,1326
back,1325
product,1310
development,1304
law,1295
science,1294
operations,1292
men,1288
model,1281
did,1272
employees,1272
performance,1271
called,1269
within,1269
market,1258
field,1241
area,1241
cause,1239
required,1237
just,1236
ies,1231
known,1228
name,1227
end,1221
right,1221
result,1218
enemy,1215
since,1214
know,1213
international,1208
she,1201
image,1192
thus,1191
act,1189
man,1184
give,1183
structure,1181
found,1178
side,1175
however,1172
off,1168
material,1166
provide,1153
common,1144
therefore,1141
unit,1141
research,1140
might,1139
amount,1139
possible,1134
mind,1124
able,1122
too,1108
sales,1107
per,1105
study,1103
always,1099
training,1094
best,1092
including,1079
method,1078
cannot,1075
figure,1074
services,1073
rich,1071
table,1071
type,1070
particular,1069
get,1069
others,1065
physical,1058
public,1049
forces,1047
current,1044
access,1027
surface,1026
project,1024
nature,1024
object,1022
human,1021
source,1018
things,1014
organization,999
total,997
present,995
full,994
air,992
american,989
rev,988
matter,987
corporate,987
either,985
necessary,984
here,980
inc,979
pic,978
making,977
done,976
put,976
slang,976
physics,971
never,969
certain,966
origin,966
something,965
companies,965
need,963
according,962
still,958
hand,958
strong,956
chemical,955
think,954
politics,953
available,951
chemistry,949
chapter,935
around,935
electric,934
year,928
come,926
book,923
day,921
four,916
effect,914
single,912
plant,910
individual,907
lines,907
together,905
web,905
include,902
rather,901
above,896
motion,893
direction,892
design,890
among,888
support,885
low,884
financial,878
free,875
taken,873
electrons,873
left,872
country,871
employee,871
help,870
itself,870
want,869
conditions,866
potential,865
sound,864
away,864
until,862
similar,862
military,859
attack,859
ing,858
times,856
operating,856
better,854
history,853
application,853
culture,848
problem,846
york,837
further,837
whole,836
united,835
find,833
terms,831
protection,830
ground,829
acid,828
plan,827
say,827
head,827
environment,823
working,821
quality,821
approach,819
food,819
again,818
several,818
wwwhellodigiir,818
move,816
view,813
sense,809
gas,807
tools,806
reaction,806
language,806
section,804
future,803
program,802
load,794
open,792
review,792
next,789
device,788
top,787
ideas,785
specific,783
heat,781
keep,779
few,777
paper,774
speed,774
health,773
although,772
personal,771
little,771
journal,771
provided,766
particles,766
local,764
once,763
battle,761
site,758
nuclear,758
least,757
growth,756
course,755
unknown,753
million,752
various,750
why,749
increase,748
charge,747
natural,746
algorithm,745
values,743
abbr,742
processes,739
subject,737
requirements,737
national,736
thought,735
whose,735
later,732
greater,732
experience,730
test,730
points,730
companys,729
policy,725
carbon,724
response,723
success,722
methods,722
higher,719
board,719
period,718
molecules,718
themselves,717
real,714
forms,714
school,713
events,713
society,713
sing,712
front,711
face,711
pressure,711
kind,710
cost,704
words,702
areas,702
fact,701
resources,700
software,699
materials,698
atoms,698
addition,697
government,696
standard,696
short,695
environmental,695
building,694
search,690
liquid,690
hard,689
true,687
parts,684
lead,684
job,681
incident,680
whether,679
function,678
center,677
production,677
key,676
corporation,675
rate,674
user,674
idea,671
cases,671
temperature,670
distance,669
manner,667
substance,665
proposed,665
activity,664
advantage,663
size,663
movement,661
education,660
far,659
turn,659
base,659
devices,658
groups,658
along,656
elements,655
persons,654
firm,653
global,653
step,652
cambridge,652
children,651
testing,650
account,650
let,649
five,648
due,648
class,647
ting,646
fear,645
shown,644
condition,641
activities,641
fall,641
prevent,640
factors,638
lower,638
controls,638
problems,637
considered,637
question,636
purpose,635
attrib,634
last,632
proper,632
home,630
dna,630
issues,629
look,626
impact,626
developed,625
organizations,625
decision,624
needed,623
location,622
outside,621
fig,621
major,620
special,620
solution,619
produce,617
ways,616
age,615
exposure,613
house,612
show,611
reason,610
ier,609
electron,609
create,608
length,608
vulnerability,608
range,607
equal,606
german,606
iest,606
metal,605
flow,604
appropriate,601
procedures,601
understanding,600
useful,599
understand,599
easily,599
income,598
simple,597
share,597
ability,596
studies,596
changes,595
atomic,595
early,594
interest,594
risk,594
degree,593
computer,589
complete,587
types,587
dad,587
difficult,586
constant,586
stock,585
determine,583
net,580
child,577
additional,577
makes,576
principle,575
main,573
likely,572
price,570
competitive,570
young,569
fire,569
levels,569
memory,568
applications,568
capacity,565
magnetic,565
safe,565
grow,563
moving,560
word,557
element,557
ensure,557
rules,556
machine,555
engineering,555
multiple,554
hazards,553
nothing,552
operation,552
positive,550
firms,550
tion,549
monitoring,548
baba,548
yet,547
room,546
units,546
run,545
laws,545
customers,543
rule,542
internal,541
family,540
phase,540
weight,540
average,539
written,537
character,537
path,536
seen,535
personnel,535
importance,534
below,534
techniques,534
critical,534
generally,532
images,531
himself,530
white,530
designed,530
formed,529
six,527
though,527
black,527
produced,527
placed,526
pay,525
identity,525
enough,522
modern,522
quantum,522
play,521
event,520
planning,519
almost,518
objects,518
provides,517
members,516
going,516
across,516
atom,516
third,515
became,515
earth,515
piece,515
mobile,514
shows,513
role,513
report,513
feet,512
sometimes,512
individuals,512
reactions,511
art,510
performed,510
strategies,510
practice,509
measure,509
taking,509
desire,508
instead,508
practices,508
italian,508
capital,507
crane,506
clear,506
radiation,505
engine,504
stores,503
situation,503
napoleon,502
thousand,502
networks,501
volume,500
close,500
strength,500
var,500
took,499
countries,499
customer,499
identify,498
economic,497
poor,497
industrial,496
uses,496
negative,496
successful,495
dont,494
code,494
issue,492
read,491
chief,491
car,491
features,491
death,490
npl,490
directly,489
perhaps,489
choice,489
entry,489
vehicle,489
member,488
formal,487
bring,486
already,486
basic,486
attention,485
cut,485
properties,482
learn,481
applied,481
costs,481
list,480
property,480
users,480
relations,480
wave,480
traffic,478
feature,478
particle,478
march,477
behind,476
perform,476
evidence,475
prior,474
operator,474
components,474
consider,472
basis,472
specified,472
eyes,471
molecule,471
loss,470
chain,469
initial,468
toward,467
requires,467
cell,467
series,466
behavior,465
require,464
develop,464
direct,464
president,463
influence,462
date,462
troops,462
occur,462
numbers,461
respect,460
forming,458
increased,458
external,458
server,458
moral,458
sources,457
near,457
held,457
simply,457
lift,457
yes,457
